Datum 1. registrace,Datum 1. registrace v ČR,ZTP,ES/EU,Druh vozidla,Druh vozidla 2. ř.,Kategorie vozidla,Tovární značka,Typ,Varianta,Verze,VIN,Obchodní označení,Výrobce vozidla,Výrobce motoru,Typ motoru,Max. výkon [kW] / [min⁻¹],Palivo,Zdvihový objem [cm³],Plně elektrické vozidlo,Hybridní vozidlo,Třída hybridního vozidla,Emisní limit [EHKOSN/EHSES],Stupeň plnění emisní úrovně,Korigovaný součinitel absorbce [m⁻¹],CO2 město /mimo město/kombinované [g.km-1],Specifické CO2,Snížení emisí – NEDC,Snížení emisí – WLTP,Spotřeba předpis,Spotřeba město /mimo město/kombinovaná [l.100km⁻¹],Spotřeba při rychlosti [l.100 km⁻¹],Spotřeba el. mobil [Wh/km] – Z,Dojezd ZR [km],Výrobce karoserie,Druh (typ),Výrobní číslo karoserie,Barva,Barva doplňková,Počet míst celkem / k sezení / k stání,Celková délka/šířka/výška [mm],Rozvor [mm],Rozchod [mm],Provozní hmotnost,Největší technicky přípustná/povolená hmotnost [kg],Největší technicky přípustná/povolená hmotnost na nápravu [kg],Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] brzděného,Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] nebrzděného,Největší technicky přípustná/povolená hmotnost jízdní soupravy [kg],Hmotnosti vozidla při testu WLTP,Průměrná hodnota užitečného zatížení,Spojovací zařízení - druh,Počet náprav - z toho poháněných,Kola a pneumatiky na nápravě - rozměry/montáž [N.1; N.2; N.3; N.4],Vnější hluk vozidla [dB(A)] - stojícího při ot. [min⁻¹],Za jízdy,Nejvyšší rychlost [km.h⁻¹],Poměr Výkon/Hmotnost [kW.kg⁻¹],Inovativní technologie,Stupeň dokončení,Faktor odchylky - DE,Faktor verifikace - Vf,Účel vozidla,Další záznamy,Alternativní provedení,Číslo TP,Číslo ORV,Druh RZ,Zařazení vozidla,Status,PČV,ABS,Airbag,ASR,Brzdy nouzová,Brzdy odlehčovací,Brzdy parkovací,Brzdy provozní,Doplňkový text na TP,Hmotnosti provozní Do,Hmotnosti zatížení SZ,Hmotnosti zatížení SZ typ,Hydropohon,Objem cisterny,Zatížení střechy,Číslo motoru,Nejvyšší rychlost omezení,Ovládání brzd SZ,Ovládání brzd SZ druh,Retarder,Rok výroby,Délka do,Ložná délka,Ložná šířka,Výška do,Typ kód,RM zániku,Stupeň autonomity vozidla,Varianta RZ
1979-01-01,1983-12-07,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,2555862,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,2555862,MODRÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AF174206,AAC618858,OSOBNÍ,RSV,ZÁNIK,236,False,,False,True,False,True,True,"18.10.1993 pneu 165R 13, ráfky 4 1/2 J x 13",,,,,0,50,079520/2,,,,,1979,,0,0,,TMB12M00L,VODŇANY,Neuvedeno,
1988-03-03,1988-03-03,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12MOOLJ3603778,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12MOOLJ3603778,HNĚDÁ-PASTEL,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI596193,,OSOBNÍ,RSV,ZÁNIK,237,False,,False,True,False,True,True,"TZ 45B, v.č.- 0779",,,,,0,50,5795929,,,,,1988,,0,0,,TMB12M00L,KOSTELEC NAD ORLICÍ,Neuvedeno,
1971-12-01,1971-12-01,0698-001-75,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 100 L / 722,L,,140028,100,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 722,35 / 4750,BA 84,988,false,false,," / ",,0," /  / ",,,,ČSN,0 / 0 / 0,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,140028,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,4155/ 1620/ 1380,2400,"/ / / ",820,1195/ 1195,520/ 520|675/ 675|/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ -1 ZADNÍ,155 SR 14/ 4.5J X 14|155 SR 14/ 4.5J X 14|/ |/ |,0/ 0,82,125,0,,,,,,,,AC852541,,OSOBNÍ,RSV,ZÁNIK,238,False,,False,False,False,True,True,,,,,,0,0,748698/8,,,,,1971,,0,0,,722,ZNOJMO,Neuvedeno,
1968-02-19,1968-02-19,0459-066-00,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,"ŠKODA 1000 MB / ",,,273055,1000 MB,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 990,35 / 4750,BA 84,988,false,false,," / ",,0," /  / ",,,,ČSN,0 / 0 / 0,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,273055,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,4170/ 1620/ 1390,2400,"/ / / ",755,1130/ 1130,494/ 494|636/ 636|/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ -1 ZADNÍ,155-14/ 4.5J X 14|155-14/ 4.5J X 14|/ |/ |,0/ 0,0,125,0,,,,,,,,AC006629,,OSOBNÍ,RSV,ZÁNIK,239,False,,False,False,False,True,True,,,,,,0,0,2711202/1,,,,,1968,,0,0,,,ŠTERNBERK,Neuvedeno,
1978-01-01,1992-05-20,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,2040878,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,2040878,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AN521758,AAH306955,OSOBNÍ,RSV,PROVOZOVANÉ,240,False,,False,True,False,True,True,aab 092316,,,,,0,50,376454/2,,,,,1978,,0,0,,TMB12M00L,,Neuvedeno,
1988-06-07,1988-06-07,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LJ3664461,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LJ3664461,ZELENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI661125,AAJ965715,OSOBNÍ,RSV,ZÁNIK,241,False,,False,True,False,True,True,,,,,,0,50,5859148/120,,,,,1988,,0,0,,TMB12M00L,ČERNOŠICE,Neuvedeno,
1966-10-18,1966-10-18,0459-066-00,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,"ŠKODA 1000 MB / ",,,137845,1000 MB,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 990,35 / 4750,BA 84,988,false,false,," / ",,0," /  / ",,,,ČSN,0 / 0 / 0,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,137845,ŠEDÁ-ZÁKLADNÍ,,5 / 5 / 0,4170/ 1620/ 1390,2400,"/ / / ",755,1130/ 1130,494/ 494|636/ 636|/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ -1 ZADNÍ,155-14/ 4.5J X 14|155-14/ 4.5J X 14|/ |/ |,0/ 0,0,125,0,,,,,,,,AB670146,,OSOBNÍ,RSV,PROVOZOVANÉ,242,False,,False,False,False,True,True,"Majitel, Zdeněk Šeha, emigroval.",,,,,0,0,138052/1,,,,,1966,,0,0,,,,Neuvedeno,
1988-06-27,1988-06-27,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12MOOLJ3592011,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12MOOLJ3592011,MODRÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI592638,AAG071471,OSOBNÍ,RSV,ZÁNIK,243,False,,False,True,False,True,True,,,,,,0,50,5783610/120,,,,,1988,,0,0,,TMB12M00L,LITVÍNOV,Neuvedeno,
1977-01-01,1990-08-29,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,1716739,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,1716739,MODRÁ-ZÁKLADNÍ,ŠEDÁ-ZÁKLADNÍ,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AE581272,,OSOBNÍ,RSV,ZÁNIK,244,False,,False,True,False,True,True,omezení do 03.01.1993,,,,,0,50,124-6/2-86,,,,,1977,,0,0,,TMB12M00L,BUČOVICE,Neuvedeno,
1980-01-01,1981-09-07,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,B2344065,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,B2344065,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,BF222324,BAB156810,OSOBNÍ,RSV,ZÁNIK,245,False,,False,True,False,True,True,,,,,,0,50,371581/2,,,,,1980,,0,0,,TMB12M00L,DĚČÍN,Neuvedeno,
1987-01-01,1987-01-01,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3587033,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,0 / 93,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3587033,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI589784,UAA497506,STD. SILNIČNÍ,RSV,ZÁNIK,246,False,,False,True,False,True,True,"voz.odc.ODaS-2831/05,ORV RV, voz.nal.vrác.bez RZOR III-1611/MO6-TČ-2005",,,,,0,50,5777732/120,,,,False,1987,,0,0,,TMB12M00L,KLADNO,Neuvedeno,
1969-07-18,1969-07-18,,,OSOBNÍ AUTOMOBIL,,M1,ŠKODA,"ŠKODA 1000 MB / ",,,439102,1000 MB,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 990,35 / 4750,BA 84,988,false,false,," / ",Neuvedeno,," /  / ",,,,," /  / ",,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN 4DV.,439102,MODROZEL-ZÁKLADNÍ,,5 / 5 / 0,4170/ 1620/ 1380,2400,"/ / / ",810,1185/ 1185,510/ 510|675/ 675|/ |/ |,400/ 400,300/ 300,"/ ",,,ISO 50,2/ -1 ZADNÍ,155-14/ 4.5J X 14|155-14/ 4.5J X 14|/ |/ |,"/ ",,125,,,,,,Běžný provoz,,,UF540576,UBD444389,OSOBNÍ,RSV,PROVOZOVANÉ,247,False,,False,False,False,True,True,"tz 380/600,vč.2283; DEPOZIT 1125/2013 13.04.2022 ZAPLACEN EMISNÍ POPLATEK",,,,,,0,433020/7,,,,False,1969,,0,0,,,,Neuvedeno,
1988-07-25,1988-07-25,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LJ3685300,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LJ3685300,ZELENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI668823,AAI160149,OSOBNÍ,RSV,PROVOZOVANÉ,248,False,,False,True,False,True,True,,,,,,0,50,5880780/120,,,,,1988,,0,0,,TMB12M00L,,Neuvedeno,
1986-12-18,1986-12-18,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LH3393278,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LH3393278,HNĚDÁ-PASTEL,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI266736,AAH489192,OSOBNÍ,RSV,ZÁNIK,249,False,,False,True,False,True,True,,,,,,0,50,5784221/120,,,,,1986,,0,0,,TMB12M00L,MD (vozidlo bez RM),Neuvedeno,
1983-01-01,1984-01-02,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,2867172,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,2867172,ZELENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AH071474,,OSOBNÍ,RSV,ZÁNIK,250,False,,False,True,False,True,True,,,,,,0,50,917436/2,,,,,1983,,0,0,,TMB12M00L,BLATNÁ,Neuvedeno,
1988-08-01,1988-08-01,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LJ3679265,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LJ3679265,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI665505,BAD175308,OSOBNÍ,RSV,ZÁNIK,251,False,,False,True,False,True,True,12.09.2005-spojovací zařízení A50-X typu ZT 045,,,,,,50,5874780/120,,,,False,1988,,0,0,,TMB12M00L,HOLEŠOV,Neuvedeno,
1988-06-20,1988-06-20,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3667650,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3667650,ŠEDÁ-TMAVÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI662567,,OSOBNÍ,RSV,PROVOZOVANÉ,252,False,,False,True,False,True,True,,,,,,0,50,5862296/120,,,,,1988,,0,0,,TMB12M00L,,Neuvedeno,
1988-03-03,1988-03-03,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12MOOLJ3575350,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36.7 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12MOOLJ3575350,ŠEDÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",950,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,TŘÍDA A50-X,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI584208,AAD828831,OSOBNÍ,RSV,VYŘAZENO Z PROVOZU,253,False,,False,True,False,True,True,"TZ 45B, v.č.- 1934, Dne 17.12.2013 vozidlo dočasně vyřazeno, max. do 17.12.2014, 17.6.2015.",,50,Z,,,50,5764428/120,,,,False,1987,,0,0,,TMB12M00L,,Neuvedeno,
1988-01-01,1988-01-01,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LJ3680728,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LJ3680728,ZELENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI665679,BAD150213,OSOBNÍ,RSV,ZÁNIK,254,False,,False,True,False,True,True,8.4.1998 hr.přest.pov.čj.18195/96-222 z 23.2.96 PB+BA,,,,,0,50,5876068/120,,,,,1988,,0,0,,TMB12M00L,KROMĚŘÍŽ,Neuvedeno,
1973-01-01,1992-05-04,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,2657604,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,2657604,ŽLUTÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AD276244,AAD729647,OSOBNÍ,RSV,PROVOZOVANÉ,255,False,,False,True,False,True,True,,,,,,0,50,004494/2,,,,,1973,,0,0,,TMB12M00L,,Neuvedeno,
1987-05-21,1987-05-21,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LH3477959,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LH3477959,HNĚDÁ-PASTEL,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,UB017814,UAA427344,OSOBNÍ,RSV,ZÁNIK,256,False,,False,True,False,True,True,"5.10.1993-zapsání do technického průkazu  ruční ovládání vozidla  iso 50, demotáž ručního ovl.",,,,,0,50,659167/2,,,,,1987,,0,0,,TMB12M00L,HAVLÍČKŮV BROD,Neuvedeno,
1988-05-03,1988-05-03,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,633854,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,633854,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI651809,,OSOBNÍ,RSV,ZÁNIK,257,False,,False,True,False,True,True,"TZ č. 8958, 400/650 kg",,,,,0,50,5827182,,,,,1988,,0,0,,TMB12M00L,ČERNOŠICE,Neuvedeno,
1987-01-01,1987-07-13,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12M00LH3432616,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12M00LH3432616,HNĚDÁ-PASTEL,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI355384,UAA040478,OSOBNÍ,RSV,ZÁNIK,258,False,,False,True,False,True,True,,,,,,0,50,611342/2,,,,,1987,,0,0,,TMB12M00L,CHOMUTOV,Neuvedeno,
